"Author","BHL CreatorID","VIAF ID","Associated Title","DOI"
"Jaennicke, F","58320","36946973","Beiträge zur Kenntniss der Tabaniden Europa's","10.1002/mmnd.18660100106"
"Kraatz, G.","37517","47158383","Necrolog","10.1002/mmnd.18660100126"
"Harold, E V ","203390","","Monographie der Gattung Canthon","10.1002/mmnd.18680120105"
"Kraatz, G.","37517","47158383","Synonymische Bemerkungen","10.1002/mmnd.18680120426"
"Speiser, P","45027","101174268","Beitrage zur Dipteren-fauna von Kamerun. III","10.1002/mmnd.191519150202"
"Weise, J","49109","","Bemerkungen zum Catalogus Coleopterorum Europae et Caucasi","10.1002/mmnd.48018830225"
"Gerhardt, J ","203382","","Stenus Kolbei n. sp","10.1002/mmnd.48018930219"
"Breddin, G","48976","111747564","Javanische Zuckerrohrschädlinge aus der Familie der Rhynchoten","10.1002/mmnd.48018960119"
"Horn, Walther","51961","91870727","Zwei neue Cicindeliden aus Deutsch-Ost-Afrika","10.1002/mmnd.48018970111"
"Horn, Walther","51961","91870727","Aus der entomologischen Welt","10.1002/mmnd.48019080215"
"Grunberg, K","58724","59083470","Abbildungen wenig bekannter afrikanischer Schmetterlinge","10.1002/mmnd.4801910115"
"Ohaus, Fr ","177117","","Lasiocala Arrowi Ohs. (Col.)","10.1002/mmnd.4801910610"
"Kröber, O","51036","","Monographie der paläarktischen und afrikanischen Thereviden. (Dipt.)","10.1002/mmnd.48019120102"
"Ohaus, F","62513","313039218","Actinobolus talpipes n. sp. (Col. lamell. Dynastin.)","10.1002/mmnd.48019150605"
"Geyr von Schweppenburg, H.","145063","126146937735613830381","Vogelzug in der westlichen Sahara","10.1007/bf02250348"
"Heinroth, O","145019","64802132","Bericht über die Novembersitzung 1919","10.1007/bf02537671"
"Eckardt, W R","145032","","Die neueren Ergebnisse der Vogelzugforschung in Nordamerika","10.1007/bf02538933"
"Woodward, A Smith","66090","35234047","On a new Ostracoderm (Euphanerops longævus) from the Upper Devonian of Scaumenac Bay, Province of Quebec, Canada","10.1080/00222930008678308"
"Melvill, James Cosmo","66181","81088535","Descriptions of two species of Cypræa, both of the subgenus Trivia, Gray","10.1080/00222930008678363"
"Ricardo, Gertrude","50882","","Notes on diptera from South Africa","10.1080/00222930108678445"
"Bingham, C T","51668","227801774","On the Hymenoptera collected by Mr. W. L. Distant in the Transvaal, South Africa, with descriptions of supposed new species","10.1080/00222930208678602"
"Beddard, Frank E.","1455","73923583","Preliminary note on certain points in the anatomy of Eryx and other Boidæ, partly indicative of their Basal position among the Ophidia","10.1080/00222930408678901"
"M'Intosh, William Carmichael,","20043","45082465","Notes from the Gatty Marine Laboratory, St. Andrews.","10.1080/00222930808692422"
"Scott, Thomas","66667","","On new and rare Crustacea from Scottish waters","10.1080/00222930908692635"
"Chilton, Chas","47390","3254778","The Amphipod Orchestia tucurauna, Fritz Müller, of Brazil, redescribed from New Zealand specimens","10.1080/00222931908673832"
"Raylis, H A","66362","","A remarkable Cysticercus from a rare dolphin (Cysticercus Tæniæ Grimaldii, Moniez, 1889)","10.1080/00222931908673838"
"Thomas, Oldfield,","40091","54263584","A new species of Euneomys from Patagonia","10.1080/00222931908673881"
"Robson, G C","66643","108816429","Observations on the succession of the Gastropods Paludestrina ulvæ and ventrosa in brackish water","10.1080/00222932008632478"
"Thomas, Oldfield,","40091","54263584","The masked civets (Paguma) of Western China","10.1080/00222932108632626"
