"","NameBankID","EOLID","NameFound","NameConfirmed","Titles"
"1","448666","4228","CACTACEAE","Cactaceae",NA
"2","448666","4228","CACTACEAE","Cactaceae",NA
"3","448666","4228","CACTACEAE","Cactaceae",NA
"4","9538481","4223","Cactales","Cactales",NA
"5","3474965","2876494","Cylindropuntia","Cylindropuntia",NA
"6","","","Fulgidae","",NA
"7","3474967","2876515","Grusonia","Grusonia",NA
"8","1841346","5197070","Maihuenia","Maihuenia",NA
"9","3474947","2876143","Nopalea","Nopalea",NA
"10","2646159","11255298","Opuntia","Opuntia",NA
"11","9533197","","Opuntieae","Opuntieae",NA
"12","","60426","Pereskia","Pereskia P. Mill.",NA
"13","","","Pereskieae","",NA
"14","1841363","5194690","Pereskiopsis","Pereskiopsis",NA
"15","","5194868","Platyopuntia","Platyopuntia (Engelm.) Frić & Schelle ex Kreuz.",NA
"16","1841362","5195082","Pterocactus","Pterocactus",NA
"17","","","Setispinae","",NA
"18","","","Sulphureae","",NA
"19","1841359","5196305","Tacinga","Tacinga",NA
"20","3474953","5196322","Tephrocactus","Tephrocactus",NA
"21","","","Tortispinae","",NA
"22","5774027","5177616","Grusonia bradtiana","Grusonia bradtiana",NA
"23","3474947","2876143","Nopalea","Nopalea",NA
"24","","5186886","Nopalea auberi","Nopalea auberi (Pfeiff.) Salm-Dyck",NA
"25","5774136","5186890","Nopalea dejecta","Nopalea dejecta",NA
"26","","","Opimtia aciculata","",NA
"27","","","Opimtia jamaicensis","",NA
"28","","","Opimtia macrarthra","",NA
"29","","","Oprmtia echinocarpa","",NA
"30","","","Oprmtia floccosa","",NA
"31","2646159","11255298","Opuntia","Opuntia",NA
"32","","5177526","Opuntia alcahes","Opuntia alcahes F.A.C. Weber",NA
"33","2646161","477831","Opuntia arbuscula","Opuntia arbuscula",NA
"34","2646163","404517","Opuntia atrispina","Opuntia atrispina",NA
"35","5774151","5177598","Opuntia bergeriana","Opuntia bergeriana",NA
"36","3475043","5177606","Opuntia boldinghii","Opuntia boldinghii",NA
"37","3475042","","Opuntia burrageana","Opuntia burrageana",NA
"38","","5177728","Opuntia cylindrica","Opuntia cylindrica (Lam.) DC.",NA
"39","1841971","5177740","Opuntia decumbens","Opuntia decumbens",NA
"40","2784774","1273835","Opuntia dillenii","Opuntia dillenii",NA
"41","2672026","402763","Opuntia discata","Opuntia discata",NA
"42","","8717834","Opuntia drummondii","Opuntia drummondii Graham",NA
"43","3475057","5177799","Opuntia elatior","Opuntia elatior",NA
"44","1841914","5177817","Opuntia exaltata","Opuntia exaltata A. Berger",NA
"45","2646173","479266","Opuntia fragilis","Opuntia fragilis",NA
"46","2646174","478824","Opuntia fulgida","Opuntia fulgida",NA
"47","","5178525","Opuntia fuscoatra","Opuntia fuscoatra Engelm.",NA
"48","2646176","476365","Opuntia imbricata","Opuntia imbricata",NA
"49","3475029","5177983","Opuntia jamaicensis","Opuntia jamaicensis",NA
"50","3475008","","Opuntia keyensis","Opuntia keyensis",NA
"51","2646177","595944","Opuntia kleiniae","Opuntia kleiniae",NA
"52","5767828","5178004","Opuntia lasiacantha","Opuntia lasiacantha",NA
"53","618764","1264577","Opuntia leptocarpa","Opuntia leptocarpa MacKensen",NA
"54","2646179","596066","Opuntia leucotricha","Opuntia leucotricha",NA
"55","3475056","","Opuntia macrarthra","Opuntia macrarthra",NA
"56","2646181","589563","Opuntia macrorhiza","Opuntia macrorhiza",NA
"57","2835516","5178066","Opuntia megacantha","Opuntia megacantha",NA
"58","5761708","2876159","Opuntia microdasys","Opuntia microdasys",NA
"59","8785599","","Opuntia mortolensis","Opuntia mortolensis",NA
"60","","8717767","Opuntia opuntia","Opuntia opuntia (L.) H. Karst.",NA
"61","3475026","","Opuntia pascoensis","Opuntia pascoensis",NA
"62","2646185","404594","Opuntia phaeacantha","Opuntia phaeacantha",NA
"63","2646186","592880","Opuntia polyacantha","Opuntia polyacantha",NA
"64","2646207","589663","Opuntia repens","Opuntia repens",NA
"65","","5178285","Opuntia retrorsa","Opuntia retrorsa Speg.",NA
"66","618781","1264402","Opuntia rhodantha","Opuntia rhodantha K. Schum.",NA
"67","5761731","5178294","Opuntia robusta","Opuntia robusta",NA
"68","2664647","465293","Opuntia santa-rita","Opuntia santa-rita",NA
"69","5783748","5178345","Opuntia schumannii","Opuntia schumannii",NA
"70","2668347","482168","Opuntia spinosior","Opuntia spinosior",NA
"71","2646194","589696","Opuntia spinosissima","Opuntia spinosissima",NA
"72","2646196","589709","Opuntia stricta","Opuntia stricta",NA
"73","3876038","596114","Opuntia tetracantha","Opuntia tetracantha",NA
"74","2646198","589457","Opuntia tomentosa","Opuntia tomentosa",NA
"75","2784814","469947","Opuntia tortispina","Opuntia tortispina",NA
"76","2646199","589463","Opuntia triacantha","Opuntia triacantha",NA
"77","2646200","589725","Opuntia tunicata","Opuntia tunicata",NA
"78","5761775","5178470","Opuntia velutina","Opuntia velutina",NA
"79","2646201","589731","Opuntia versicolor","Opuntia versicolor",NA
"80","3475083","5178481","Opuntia vestita","Opuntia vestita",NA
"81","3879195","397618","Opuntia vivipara","Opuntia vivipara",NA
"82","","","Opuntialeptocaulis","",NA
"83","2646211","479163","Pereskia grandifolia","Pereskia grandifolia",NA
"84","","8717929","Pereskia pereskia","Pereskia pereskia (L.) H. Karst.",NA
"85","3475158","5184842","Pereskia sacharosa","Pereskia sacharosa",NA
"86","9053994","","Pereskiopsis chapistle","Pereskiopsis chapistle",NA
"87","","5194701","Pereskiopsis pititache","Pereskiopsis pititache (Karw. ex Pfeiff.) Britton & J. N. Rose",NA
"88","","","Pereslda pereskia","",NA
"89","5773989","","Xopalea auberi","Nopalea auberi",NA
"90","1841346","5197070","Maihuenia","Maihuenia",NA
"91","3474826","6359455","Maihuenia poeppigii","Maihuenia poeppigii",NA
"92","9109851","","Maihuenia tehuelches","Maihuenia tehuelches",NA
"93","5772887","","Maihuenia valentinii","Maihuenia valentinii",NA
"94","5786450","5186893","Nopalca guatemalensis","Nopalea guatemalensis",NA
"95","5774136","5186890","Nopalea dejecta","Nopalea dejecta",NA
"96","","5186895","Nopalea inaperta","Nopalea inaperta Schott ex Griffiths",NA
"97","5766327","5186896","Nopalea karwinskiana","Nopalea karwinskiana",NA
"98","3475092","5178037","Nopalea lutea","Nopalea lutea",NA
"99","","","Opimtia weberi","",NA
"100","2646159","11255298","Opuntia","Opuntia",NA
"101","2646160","479807","Opuntia acanthocarpa","Opuntia acanthocarpa",NA
"102","","5177526","Opuntia alcahes","Opuntia alcahes F.A.C. Weber",NA
"103","3475032","","Opuntia aoracantha","Opuntia aoracantha",NA
"104","2646161","477831","Opuntia arbuscula","Opuntia arbuscula",NA
"105","","5177571","Opuntia atacamensis","Opuntia atacamensis Phil. (1860)",NA
"106","8907658","","Opuntia australis","Opuntia australis",NA
"107","2646165","477238","Opuntia bigelovii","Opuntia bigelovii",NA
"108","5766344","","Opuntia bulbispina","Opuntia bulbispina",NA
"109","3475085","","Opuntia caribaea","Opuntia caribaea",NA
"110","","5177675","Opuntia cholla","Opuntia cholla F. A. C. Weber",NA
"111","","5177678","Opuntia ciribe","Opuntia ciribe Engelm.",NA
"112","5786547","","Opuntia clavarioides","Opuntia clavarioides",NA
